StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q3,Q4,Q5_1,Q5_2,Q5_3
2025-03-28 15:53:47,2025-03-28 15:54:35,IP Address,209.251.155.17,100,48,True,2025-03-28 15:54:35,R_5K7ictnOp7cE2Sq,,,,,29.6503,-82.3486,anonymous,EN,Engineering Major,4,"ChatGPT,Claude,Dall-E","Writing and Editing, Coding, Research and Information Gathering, Studying and Note-Taking, Data Analysis and Visualization, Math and Problem Solving, Presentation and Content Creation, Career and Professional Development" ,5,4,3
2025-03-28 16:15:24,2025-03-28 16:16:14,IP Address,172.225.246.51,100,50,True,2025-03-28 16:16:15,R_71sUZkABibplQRq,,,,,30.303,-90.972,anonymous,EN,Engineering Major,4,"ChatGPT,Gemini,Dall-E","Writing and Editing, Coding, Research and Information Gathering, Studying and Note-Taking, Data Analysis and Visualization, Math and Problem Solving, Presentation and Content Creation, Career and Professional Development" ,5,4,4
2025-03-28 16:36:45,2025-03-28 16:38:21,IP Address,128.227.1.23,100,96,True,2025-03-28 16:38:22,R_5PYTRICQBJMq9eh,,,,,29.6138,-82.386,anonymous,EN,Health Professions Major,4,"ChatGPT,Gemini","Writing and Editing, Research and Information Gathering, Math and Problem Solving, Career and Professional Development" ,4,4,2
2025-03-28 17:19:12,2025-03-28 17:20:04,IP Address,128.227.1.26,100,52,True,2025-03-28 17:20:05,R_7FnQxDwByLXsWHD,,,,,29.6138,-82.386,anonymous,EN,Engineering Major,2,"ChatGPT,Gemini,Claude,Grammarly AI","Writing and Editing, Studying and Note-Taking, Data Analysis and Visualization, Productivity and Organization" ,5,5,4
2025-03-29 15:53:54,2025-03-29 15:54:57,IP Address,174.209.96.156,100,63,True,2025-03-29 15:54:58,R_3QVsPAZFvOXMYNx,,,,,34.0014,-84.0144,anonymous,EN,Engineering Major,2,ChatGPT,"Writing and Editing, Coding, Research and Information Gathering, Math and Problem Solving, Career and Professional Development" ,4,4,2
2025-03-30 10:12:00,2025-03-30 10:12:51,IP Address,174.225.67.39,100,51,True,2025-03-30 10:12:51,R_3wB0iY6ELAHJV0T,,,,,28.4883,-81.4061,anonymous,EN,Engineering Major,3,ChatGPT,"Research and Information Gathering, Math and Problem Solving" ,5,4,3
2025-03-30 10:12:54,2025-03-30 10:14:12,IP Address,153.33.222.37,100,78,True,2025-03-30 10:14:12,R_5MhXystOwUC3IEA,,,,,29.6467,-82.3284,anonymous,EN,Health Professions Major,3,ChatGPT,"Writing and Editing, Research and Information Gathering, Studying and Note-Taking, Presentation and Content Creation, Career and Professional Development" ,5,5,5
2025-03-30 11:04:49,2025-03-30 11:05:40,IP Address,98.163.171.7,100,50,True,2025-03-30 11:05:41,R_51cKsnEVuxOUZXt,,,,,29.6467,-82.3284,anonymous,EN,Liberal Arts and Sciences Major,4,ChatGPT,"Writing and Editing, Research and Information Gathering, Studying and Note-Taking, Data Analysis and Visualization, Presentation and Content Creation, Productivity and Organization, Career and Professional Development" ,4,5,4
2025-03-30 12:07:38,2025-03-30 12:08:43,IP Address,107.77.216.191,100,65,True,2025-03-30 12:08:43,R_1IAEzg55Ne8NcPN,,,,,25.9562,-80.1828,anonymous,EN,Business Major,3,ChatGPT,"Writing and Editing, Research and Information Gathering" ,4,5,3
2025-03-31 05:20:17,2025-03-31 05:21:37,IP Address,64.238.187.99,100,80,True,2025-03-31 05:21:37,R_76nUI5pP4dgKxeV,,,,,29.6138,-82.386,anonymous,EN,Liberal Arts and Sciences Major,3,"ChatGPT,Gemini","Research and Information Gathering, Studying and Note-Taking" ,4,4,3
2025-03-31 06:53:10,2025-03-31 07:04:39,IP Address,64.238.187.99,100,689,True,2025-03-31 07:04:39,R_3lZQfWJAHwm3h9n,,,,,29.6138,-82.386,anonymous,EN,Liberal Arts and Sciences Major,3,"ChatGPT,Gemini","Writing and Editing, Coding, Studying and Note-Taking, Career and Professional Development" ,5,4,3
2025-03-31 11:13:29,2025-03-31 11:14:15,IP Address,128.227.1.28,100,45,True,2025-03-31 11:14:15,R_5Bx1Twd31UqrLk3,,,,,29.6138,-82.386,anonymous,EN,Engineering Major,2,"ChatGPT,Gemini","Writing and Editing, Research and Information Gathering, Math and Problem Solving, Career and Professional Development" ,3,5,4
2025-03-31 11:40:54,2025-03-31 11:47:14,IP Address,172.59.68.169,100,380,True,2025-03-31 11:47:14,R_5ikE3gCuawVSv9l,,,,,30.223,-81.7595,anonymous,EN,Engineering Major,,,,,5,4
2025-03-31 11:58:21,2025-03-31 11:59:05,IP Address,69.1.198.17,100,44,True,2025-03-31 11:59:05,R_3iJAolNaPu6QenW,,,,,29.6467,-82.3284,anonymous,EN,Liberal Arts and Sciences Major,3,"ChatGPT,Gemini,Claude,Dall-E,Grammarly AI","Writing and Editing, Research and Information Gathering, Studying and Note-Taking, Productivity and Organization, Career and Professional Development" ,5,5,5
2025-03-31 12:08:06,2025-03-31 12:08:53,IP Address,107.116.180.50,100,47,True,2025-03-31 12:08:54,R_72Gq9W92aBelwOg,,,,,30.2712,-81.7529,anonymous,EN,Engineering Major,4,"ChatGPT,Gemini,Claude","Writing and Editing, Coding, Research and Information Gathering, Studying and Note-Taking, Data Analysis and Visualization, Math and Problem Solving, Productivity and Organization, Career and Professional Development" ,5,5,5
2025-03-31 12:11:18,2025-03-31 12:12:27,IP Address,128.227.1.27,100,68,True,2025-03-31 12:12:27,R_3149KdYGhP6lMnb,,,,,29.6138,-82.386,anonymous,EN,Engineering Major,5,"ChatGPT,Gemini,Grammarly AI","Writing and Editing, Coding, Research and Information Gathering, Math and Problem Solving" ,5,5,5
2025-03-31 12:12:33,2025-03-31 12:13:18,IP Address,128.227.1.11,100,45,True,2025-03-31 12:13:18,R_1ONg4QcxUT9cAog,,,,,29.6138,-82.386,anonymous,EN,Engineering Major,4,"ChatGPT,Gemini","Writing and Editing, Research and Information Gathering, Studying and Note-Taking, Math and Problem Solving" ,3,4,4
2025-03-31 12:13:07,2025-03-31 12:14:40,IP Address,128.227.1.25,100,92,True,2025-03-31 12:14:40,R_1PB8HKtRYMICGGO,,,,,27.9528,-81.727,anonymous,EN,Engineering Major,2,ChatGPT,"Math and Problem Solving" ,1,4,2
2025-03-31 12:16:24,2025-03-31 12:20:41,IP Address,172.226.188.140,100,257,True,2025-03-31 12:20:41,R_7uvP8riqFfEDKKe,,,,,29.6467,-82.3284,anonymous,EN,Engineering Major,4,"ChatGPT,Dall-E,Grammarly AI","Writing and Editing, Coding, Research and Information Gathering, Math and Problem Solving" ,5,5,4
2025-03-31 12:20:24,2025-03-31 12:21:17,IP Address,162.120.140.66,100,53,True,2025-03-31 12:21:18,R_6o1pPM7mKKn9Nni,,,,,30.3337,-81.6542,anonymous,EN,Business Major,3,"ChatGPT,Gemini","Writing and Editing, Research and Information Gathering, Math and Problem Solving, Career and Professional Development" ,5,5,3
2025-03-31 12:33:42,2025-03-31 12:34:33,IP Address,128.227.1.27,100,50,True,2025-03-31 12:34:33,R_7BdT5kgflDviUil,,,,,29.6138,-82.386,anonymous,EN,Engineering Major,2,"ChatGPT,Claude","Coding, Math and Problem Solving" ,2,4,3
2025-03-31 14:54:08,2025-03-31 14:55:02,IP Address,89.27.237.90,100,54,True,2025-03-31 14:55:07,R_6EyMazc4nYVQ6q7,,,,,53.5844,10.0288,anonymous,EN,Engineering Major,3,"ChatGPT,Claude","Writing and Editing, Coding, Data Analysis and Visualization" ,4,4,4
2025-03-31 16:55:04,2025-03-31 16:56:38,IP Address,98.208.242.139,100,93,True,2025-03-31 16:56:38,R_3TgoWk3SpJPYhP3,,,,,26.2662,-81.7164,anonymous,EN,Engineering Major,2,ChatGPT,"Writing and Editing, Coding, Studying and Note-Taking, Math and Problem Solving, Career and Professional Development" ,4,4,3
2025-03-31 21:14:47,2025-03-31 21:14:56,Survey Preview,,100,8,True,2025-03-31 21:14:56,R_5gqGZ11d7FJJJOG,,,,,29.6467,-82.3284,preview,EN,,,,,,,
2025-03-31 21:27:42,2025-03-31 21:28:31,IP Address,68.234.232.26,100,49,True,2025-03-31 21:28:32,R_7tsTOslIw8HS5TZ,,,,,29.6475,-82.404,anonymous,EN,Health Professions Major,5,"ChatGPT,Gemini,Grammarly AI","Writing and Editing, Research and Information Gathering, Studying and Note-Taking, Math and Problem Solving" ,4,5,3
2025-03-31 21:27:53,2025-03-31 21:29:31,IP Address,107.115.153.2,100,98,True,2025-03-31 21:29:32,R_7HpAbxZdhnCaxxv,,,,,29.6138,-82.386,anonymous,EN,Business Major,5,"ChatGPT,Gemini,DeepSeek,Grammarly AI","Writing and Editing, Coding, Research and Information Gathering, Studying and Note-Taking, Math and Problem Solving, Presentation and Content Creation, Productivity and Organization" ,5,5,5
2025-04-01 04:12:08,2025-04-01 04:13:01,IP Address,66.231.157.54,100,52,True,2025-04-01 04:13:01,R_7ISnHvJ4zw4de24,,,,,29.6467,-82.3284,anonymous,EN,Liberal Arts and Sciences Major,5,"ChatGPT,Grammarly AI","Writing and Editing, Research and Information Gathering, Studying and Note-Taking, Productivity and Organization, Career and Professional Development" ,5,5,3
2025-04-01 06:40:06,2025-04-01 06:40:44,IP Address,69.1.198.17,100,38,True,2025-04-01 06:40:45,R_1PAo3vOGRAuMDye,,,,,29.6467,-82.3284,anonymous,EN,Liberal Arts and Sciences Major,3,ChatGPT,"Writing and Editing, Math and Problem Solving" ,2,4,3
2025-04-01 06:45:17,2025-04-01 06:46:59,IP Address,69.1.198.17,100,101,True,2025-04-01 06:47:00,R_6YCZQhtiui5WU3T,,,,,29.6467,-82.3284,anonymous,EN,Liberal Arts and Sciences Major,3,"ChatGPT,Claude,Grok","Writing and Editing, Studying and Note-Taking, Math and Problem Solving, Productivity and Organization" ,4,5,3
2025-04-01 07:05:41,2025-04-01 07:07:33,IP Address,172.59.65.51,100,111,True,2025-04-01 07:07:33,R_36Bg1y9dQmYRYIx,,,,,30.362,-81.6919,anonymous,EN,Business Major,3,"ChatGPT,Gemini,Dall-E","Writing and Editing, Research and Information Gathering, Presentation and Content Creation, Career and Professional Development" ,4,5,3
2025-04-01 10:36:51,2025-04-01 10:37:29,IP Address,174.211.163.32,100,38,True,2025-04-01 10:37:30,R_5GmMzpv1fPZPJQJ,,,,,27.9528,-81.727,anonymous,EN,Liberal Arts and Sciences Major,4,ChatGPT,"Writing and Editing, Research and Information Gathering, Studying and Note-Taking, Math and Problem Solving" ,5,5,3
2025-04-02 10:55:32,2025-04-02 10:56:14,IP Address,200.44.225.157,100,41,True,2025-04-02 10:56:15,R_7BQ94jhhK2pxNPH,,,,,10.463,-64.1656,anonymous,EN,Liberal Arts and Sciences Major,5,"ChatGPT,Gemini,DeepSeek,Dall-E,Github Copilot","Writing and Editing, Research and Information Gathering, Studying and Note-Taking, Productivity and Organization, Career and Professional Development" ,5,5,5
2025-04-02 11:48:23,2025-04-02 11:50:41,IP Address,191.106.129.254,100,137,True,2025-04-02 11:50:41,R_6elR6lKXY791NHQ,,,,,3.4385,-76.523,anonymous,EN,Health Professions Major,2,ChatGPT,"Writing and Editing, Research and Information Gathering, Studying and Note-Taking, Data Analysis and Visualization" ,4,4,5
2025-04-04 21:08:08,2025-04-04 21:09:23,IP Address,172.59.69.244,100,75,True,2025-04-04 21:09:24,R_30T2QIkpMOiTt0E,,,,,30.223,-81.7595,anonymous,EN,Health Professions Major,4,"ChatGPT,Grammarly AI","Writing and Editing, Research and Information Gathering, Studying and Note-Taking, Productivity and Organization, Career and Professional Development" ,5,5,3
2025-04-07 12:04:18,2025-04-07 12:04:25,IP Address,68.234.232.21,100,7,True,2025-04-07 12:04:26,R_6SvGoszpEuYYkkO,,,,,29.6475,-82.404,anonymous,EN,,,,,,,
